ID,Project,SITE.SAMPLE.YEAR,SITE.SAMPLE.YEAR.WELL,SITE,Stream.Code,Reach,Reach.number,Site.number,Sample,Year,Technical.Replicate,Date,Arrival.Time,Weather.Ceiling,Weather.Precipitation,Water.Temperature.C,pH,Turbidity.NTU.,Habitat.Type,Stream.Width.m,Site.Length.m,Site.Width.m,Site.Area.m2,Wetted.Width.m,Transect.Depth.m,Transect.Flow.cms,Field.Gradient.percent,EF.Conductivity.uS.cm,eDNA.Sampling.Location,eDNA.Water.Sampling.Depth.cm,eDNA.Total.Water.Depth.m,eDNA.Distance.from.Shore.m,eDNA.Filtering.Location,eDNA.Filter.Pore.Size.um,eDNA.Filters.Preserved.In,eDNA.Sample.Collection.Start.Time,eDNA.Sample.Collection.End.Time,eDNA.Volume.Filtered.L,Fish.Total.Biomass.g,Fish.Biomass.g.m2,Fish.Abundance,Fish.Abundance.fish.m2,Fish.Avg.Length.mm,Fish.Avg.Mass.g,CO.Total.Biomass.g,CO.Biomass.g.m2,CO.Abundance,CO.Abundance.fish.m2,CO.Avg.Length.mm,CO.Avg.Mass.g,CT.Total.Biomass.g,CT.Biomass.g.m2,CT.Abundance,CT.Abundance.fish.m2,CT.Avg.Length.mm,CT.Avg.Mass.g,RB.Total.Biomass.g,RB.Biomass.g.m2,RB.Abundance,RB.Abundance.fish.m2,RB.Avg.Length.mm,RB.Avg.Mass.g,River.Year,SITE,Sort.Code,Sample.replicate,Lab.Code,DPN,qPCR.Run.int,Well.int,DNA.int,Transformed.int,Score.int,qPCR.Run.ef,Well.ef,DNA.ef,Transformed.ef,Score.ef,Lab.Call.ef,qPCR.Run.cl,Well.cl,DNA.cl,Transformed.cl,Score.cl,Lab.Call.cl,qPCR.Run.ki,Well.ki,DNA.ki,Transformed.ki,Score.ki,Lab.Call.ki,qPCR.Run.my,Well.my,DNA.my,Transformed.my,Score.my,Lab.Call.my,Spacer
11,Ecofish Salmonids,AAA-DVeDNA01-B-2017,AAA-DVeDNA01-B-2017-C03,AAA-DVeDNA01,AAA,Diversion,1,1,B,2017,3,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:50:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,2,B,DV01,3,031319LCB2F,C03,20.15,29.851,1,031419LCB1F,C03,31.88,18.121,1,Y,040519LCB1G,C03,43.19,6.811,1,Y,031419LCB1G,C03,50,0.001,0,N,031419LCB1H,C03,42.15,7.851,1,Y,3
12,Ecofish Salmonids,AAA-DVeDNA01-B-2017,AAA-DVeDNA01-B-2017-D03,AAA-DVeDNA01,AAA,Diversion,1,1,B,2017,4,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:50:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,2,B,DV01,3,031319LCB2F,D03,19.82,30.181,1,031419LCB1F,D03,31.72,18.281,1,Y,040519LCB1G,D03,42.79,7.211,1,Y,031419LCB1G,D03,50,0.001,0,N,031419LCB1H,D03,44.84,5.161,1,Y,3
13,Ecofish Salmonids,AAA-DVeDNA01-B-2017,AAA-DVeDNA01-B-2017-E03,AAA-DVeDNA01,AAA,Diversion,1,1,B,2017,5,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:50:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,2,B,DV01,3,NA,NA,NA,NA,NA,031419LCB1F,E03,32.02,17.981,1,Y,040519LCB1G,E03,42.8,7.201,1,Y,031419LCB1G,E03,50,0.001,0,N,031419LCB1H,E03,43.22,6.781,1,Y,3
14,Ecofish Salmonids,AAA-DVeDNA01-B-2017,AAA-DVeDNA01-B-2017-F03,AAA-DVeDNA01,AAA,Diversion,1,1,B,2017,6,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:50:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,2,B,DV01,3,NA,NA,NA,NA,NA,031419LCB1F,F03,32.45,17.551,1,Y,040519LCB1G,F03,44.08,5.921,1,Y,031419LCB1G,F03,50,0.001,0,N,031419LCB1H,F03,42.33,7.671,1,Y,3
15,Ecofish Salmonids,AAA-DVeDNA01-B-2017,AAA-DVeDNA01-B-2017-G03,AAA-DVeDNA01,AAA,Diversion,1,1,B,2017,7,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:50:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,2,B,DV01,3,NA,NA,NA,NA,NA,031419LCB1F,G03,32.06,17.941,1,Y,040519LCB1G,G03,50,0.001,0,Y,031419LCB1G,G03,50,0.001,0,N,031419LCB1H,G03,42.1,7.901,1,Y,3
16,Ecofish Salmonids,AAA-DVeDNA01-B-2017,AAA-DVeDNA01-B-2017-H03,AAA-DVeDNA01,AAA,Diversion,1,1,B,2017,8,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,22:50:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,2,B,DV01,3,NA,NA,NA,NA,NA,031419LCB1F,H03,33.01,16.991,1,Y,040519LCB1G,H03,50,0.001,0,Y,031419LCB1G,H03,50,0.001,0,N,031419LCB1H,H03,42.75,7.251,1,Y,3
17,Ecofish Salmonids,AAA-DVeDNA01-C-2017,AAA-DVeDNA01-C-2017-A05,AAA-DVeDNA01,AAA,Diversion,1,1,C,2017,1,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,23:10:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,3,C,DV01,5,031319LCB2F,A05,19.84,30.161,1,031419LCB1F,A05,32.46,17.541,1,Y,040519LCB1G,A05,44.04,5.961,1,Y,031419LCB1G,A05,50,0.001,0,N,031419LCB1H,A05,41.21,8.791,1,Y,5
18,Ecofish Salmonids,AAA-DVeDNA01-C-2017,AAA-DVeDNA01-C-2017-B05,AAA-DVeDNA01,AAA,Diversion,1,1,C,2017,2,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,23:10:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,3,C,DV01,5,031319LCB2F,B05,19.87,30.131,1,031419LCB1F,B05,31.2,18.801,1,Y,040519LCB1G,B05,43.11,6.891,1,Y,031419LCB1G,B05,50,0.001,0,N,031419LCB1H,B05,46.95,3.051,1,Y,5
19,Ecofish Salmonids,AAA-DVeDNA01-C-2017,AAA-DVeDNA01-C-2017-C05,AAA-DVeDNA01,AAA,Diversion,1,1,C,2017,3,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,23:10:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,3,C,DV01,5,031319LCB2F,C05,19.55,30.451,1,031419LCB1F,C05,31.59,18.411,1,Y,040519LCB1G,C05,40.82,9.181,1,Y,031419LCB1G,C05,50,0.001,0,N,031419LCB1H,C05,42.52,7.481,1,Y,5
20,Ecofish Salmonids,AAA-DVeDNA01-C-2017,AAA-DVeDNA01-C-2017-D05,AAA-DVeDNA01,AAA,Diversion,1,1,C,2017,4,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,23:10:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,3,C,DV01,5,031319LCB2F,D05,19.85,30.151,1,031419LCB1F,D05,32.14,17.861,1,Y,040519LCB1G,D05,45.21,4.791,1,Y,031419LCB1G,D05,50,0.001,0,N,031419LCB1H,D05,44.43,5.571,1,Y,5
21,Ecofish Salmonids,AAA-DVeDNA01-C-2017,AAA-DVeDNA01-C-2017-E05,AAA-DVeDNA01,AAA,Diversion,1,1,C,2017,5,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,23:10:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,3,C,DV01,5,NA,NA,NA,NA,NA,031419LCB1F,E05,31.89,18.111,1,Y,040519LCB1G,E05,43.74,6.261,1,Y,031419LCB1G,E05,38.08,11.921,1,N,031419LCB1H,E05,41.24,8.761,1,Y,5
22,Ecofish Salmonids,AAA-DVeDNA01-C-2017,AAA-DVeDNA01-C-2017-F05,AAA-DVeDNA01,AAA,Diversion,1,1,C,2017,6,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,23:10:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,3,C,DV01,5,NA,NA,NA,NA,NA,031419LCB1F,F05,32.36,17.641,1,Y,040519LCB1G,F05,42.62,7.381,1,Y,031419LCB1G,F05,50,0.001,0,N,031419LCB1H,F05,43.39,6.611,1,Y,5
23,Ecofish Salmonids,AAA-DVeDNA01-C-2017,AAA-DVeDNA01-C-2017-G05,AAA-DVeDNA01,AAA,Diversion,1,1,C,2017,7,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,23:10:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,3,C,DV01,5,NA,NA,NA,NA,NA,031419LCB1F,G05,31.81,18.191,1,Y,040519LCB1G,G05,44.17,5.831,1,Y,031419LCB1G,G05,50,0.001,0,N,031419LCB1H,G05,43.32,6.681,1,Y,5
24,Ecofish Salmonids,AAA-DVeDNA01-C-2017,AAA-DVeDNA01-C-2017-H05,AAA-DVeDNA01,AAA,Diversion,1,1,C,2017,8,9/5/2017,17:57:00,Overcast,Dry,16.5,7.12,0.1,Riffle,2,6.9,5.17,35.7,5.17,0.14,0.06,4,80,thalweg,5,0.15,0.1,lab,0.45,silica desiccant,17:59:00,23:10:00,2,421.5,11.8,64,1.8,72.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,300.7,8.4,50.0,1.4,71.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA01,3,C,DV01,5,NA,NA,NA,NA,NA,031419LCB1F,H05,32.28,17.721,1,Y,040519LCB1G,H05,41.61,8.391,1,Y,031419LCB1G,H05,50,0.001,0,N,031419LCB1H,H05,43.57,6.431,1,Y,5
25,Ecofish Salmonids,AAA-DVeDNA02-A-2017,AAA-DVeDNA02-A-2017-A07,AAA-DVeDNA02,AAA,Diversion,1,2,A,2017,1,9/5/2017,18:10:00,Overcast,Dry,16.5,7.64,0.18,Pool,3.5,15.5,3.97,61.5,3.97,0.18,0.06,1,80,thalweg,5,0.3,2,lab,0.45,silica desiccant,18:13:00,22:00:00,2,554.7,9.0,52,0.8,85.1,10.7,0.0,0.0,0.0,0.0,0.0,0.0,261.0,4.2,35.0,0.6,78.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA02,4,A,DV02,7,031319LCB2F,A07,20.54,29.461,1,031419LCB1F,A07,32.03,17.971,1,Y,040519LCB1G,A07,50,0.001,0,Y,031419LCB1G,A07,50,0.001,0,N,031419LCB1H,A07,50,0.001,0,Y,7
26,Ecofish Salmonids,AAA-DVeDNA02-A-2017,AAA-DVeDNA02-A-2017-B07,AAA-DVeDNA02,AAA,Diversion,1,2,A,2017,2,9/5/2017,18:10:00,Overcast,Dry,16.5,7.64,0.18,Pool,3.5,15.5,3.97,61.5,3.97,0.18,0.06,1,80,thalweg,5,0.3,2,lab,0.45,silica desiccant,18:13:00,22:00:00,2,554.7,9.0,52,0.8,85.1,10.7,0.0,0.0,0.0,0.0,0.0,0.0,261.0,4.2,35.0,0.6,78.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA02,4,A,DV02,7,031319LCB2F,B07,20.37,29.631,1,031419LCB1F,B07,31.99,18.011,1,Y,040519LCB1G,B07,46.48,3.521,1,Y,031419LCB1G,B07,50,0.001,0,N,031419LCB1H,B07,42.13,7.871,1,Y,7
27,Ecofish Salmonids,AAA-DVeDNA02-A-2017,AAA-DVeDNA02-A-2017-C07,AAA-DVeDNA02,AAA,Diversion,1,2,A,2017,3,9/5/2017,18:10:00,Overcast,Dry,16.5,7.64,0.18,Pool,3.5,15.5,3.97,61.5,3.97,0.18,0.06,1,80,thalweg,5,0.3,2,lab,0.45,silica desiccant,18:13:00,22:00:00,2,554.7,9.0,52,0.8,85.1,10.7,0.0,0.0,0.0,0.0,0.0,0.0,261.0,4.2,35.0,0.6,78.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA02,4,A,DV02,7,031319LCB2F,C07,20.4,29.601,1,031419LCB1F,C07,31.87,18.131,1,Y,040519LCB1G,C07,46.77,3.231,1,Y,031419LCB1G,C07,50,0.001,0,N,031419LCB1H,C07,46.59,3.411,1,Y,7
28,Ecofish Salmonids,AAA-DVeDNA02-A-2017,AAA-DVeDNA02-A-2017-D07,AAA-DVeDNA02,AAA,Diversion,1,2,A,2017,4,9/5/2017,18:10:00,Overcast,Dry,16.5,7.64,0.18,Pool,3.5,15.5,3.97,61.5,3.97,0.18,0.06,1,80,thalweg,5,0.3,2,lab,0.45,silica desiccant,18:13:00,22:00:00,2,554.7,9.0,52,0.8,85.1,10.7,0.0,0.0,0.0,0.0,0.0,0.0,261.0,4.2,35.0,0.6,78.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,AAA 2017,AAA-DVeDNA02,4,A,DV02,7,031319LCB2F,D07,20.3,29.701,1,031419LCB1F,D07,32.17,17.831,1,Y,040519LCB1G,D07,50,0.001,0,Y,031419LCB1G,D07,50,0.001,0,N,031419LCB1H,D07,46.35,3.651,1,Y,7
